index,text,confidence
1215,:,0.3106
1216,-,0.2614
1217,l,0.3608
1218,M,0.4914
1219,-,0.8362
1220,-,0.7371
1221,-,0.8029
1222,-,0.9414
1223,-,0.9367
1224,-,0.9706
1225,M,0.23
1226,1,0.3997
1227,E,0.6126
1228,=,0.6958
1229,=,0.6475
1230,-,0.7487
1231,,0.5424
1232,1,0.4227
1233,-,0.4734
1234,-,0.6709
1235,l,0.55
1236,=,0.8827
1237,=,0.3458
1238,T,0.3847
1239,-,0.6654
1240,1,0.5264
1241,I,0.4508
1242,L,0.675
1243,L,0.4017
1244,-,0.6832
1245,E,0.4915
1246,-,0.8059
1247,:,0.4946
1248,-,0.9159
1249,L,0.4678
1250,EI,0.4653
1251,-,0.2941
1252,-,0.4014
1253,E,0.6489
1254,-,0.3342
1255,1,0.3618
1256,-,0.8992
1257,L,0.47
1258,E,0.2509
1259,-,0.816
1260,=,0.3354
1261,EB,0.6991
1262,-,0.4251
1263,-,0.5623
1264,1,0.3697
1265,=,0.77
1266,=,0.8165
1267,MOH,0.097
1268,ni,0.541
1269,,0.8932
1270,ET,0.4643
1271,E,0.2238
1272,-,0.5321
1273,-,0.5465
1274,-,0.4643
1275,-,0.7494
1276,1,0.4528
1277,LU,0.528
1278,-,0.8843
1279,=,0.3793
1280,,0.5088
1281,-,0.437
1282,1,0.3595
1283,=,0.3507
1284,TTE,0.1884
1285,1,0.4591
1286,L,0.818
1287,-,0.8513
1288,-,0.7156
1289,-,0.8804
1290,-,0.9031
1291,,0.5832
1292,=,0.4965
1293,-,0.4546
1294,-,0.4469
1295,-,0.7559
1296,=,0.664
1297,-,0.7488
1298,I,0.219
1299,,0.3672
1300,-,0.2603
1301,-,0.5345
1302,-,0.7437
1303,-,0.8844
1304,-,0.9434
1305,-,0.7334
1306,=,0.5507
1307,-,0.8796
1308,-,0.5244
1309,:,0.3572
1310,-,0.7322
1311,-,0.9545
1312,-,0.4225
1313,1,0.4383
1314,1,0.6438
1315,L,0.9011
1316,-,0.9171
1317,EIE,0.3247
1318,EIDE,0.5048
1319,EII,0.4838
1320,ELIT,0.2185
1321,FTE,0.3167
1322,T,0.7072
1323,-,0.9507
1324,1,0.3541
1325,-,0.7474
1326,=,0.1853
1327,LTTITIII,0.3821
1328,1,0.5587
1329,EITT,0.4604
1330,L,0.1871
1331,-,0.814
1332,mIE,0.3464
1333,LIIT,0.425
1334,1,0.6787
1335,1,0.7235
1336,1,0.6241
1337,HEEERBEH,0.355
1338,-,0.8927
1339,-,0.2495
1340,A,0.3166
1341,-,0.9078
1342,-,0.523
1343,-,0.3692
1344,-,0.3331
1345,-,0.91
1346,-,0.4535
1347,-,0.6045
1348,-,0.6819
1349,-,0.9248
1350,-,0.7461
1351,-,0.5781
1352,-,0.4583
1353,BETE,0.6004
1354,L,0.8971
1355,-,0.5164
1356,-,0.8119
1357,1,0.3637
1358,M,0.2613
1359,-,0.8817
1360,-,0.268
1361,n,0.1504
1362,I,0.3161
1363,LuE,0.1635
1364,1,0.4335
1365,1,0.455
1366,LT,0.5539
1367,-,0.6426
1368,=,0.8108
1369,=,0.3707
1370,JBE,0.2785
1371,-,0.8015
1372,1,0.5619
1373,1,0.5424
1374,=,0.3024
1375,=,0.7266
1376,-,0.8728
1377,L,0.4316
1378,-,0.9384
1379,i,0.6946
1380,-,0.8393
1381,-,0.529
1382,-,0.6867
1383,-,0.325
1384,1,0.4564
1385,-,0.3359
1386,-,0.5692
1387,-,0.9467
1388,L,0.5295
1389,-,0.6362
1390,-,0.5375
1391,1,0.8401
1392,-,0.6917
1393,=,0.4294
1394,M,0.356
1395,-,0.2268
1396,1,0.6091
1397,-,0.1964
1398,-,0.4427
1399,=,0.3524
1400,1,0.5096
1401,-,0.4852
1402,-,0.3935
1403,=,0.2706
1404,L,0.6311
1405,-,0.7096
1406,1,0.7765
1407,L,0.6155
1408,-,0.498
1409,-,0.617
1410,-,0.8253
1411,E,0.1821
1412,TERIR,0.3968
1413,PE,0.2475
1414,=,0.6724
1415,-,0.9008
1416,-,0.5113
1417,-,0.3599
1418,1,0.5555
1419,T,0.3983
1420,LEm,0.3723
1421,1,0.3005
1422,EEIEE,0.2704
1423,FETOT,0.2358
1424,T,0.5988
1425,-,0.4478
1426,L,0.2566
1427,=,0.6528
1428,=,0.2394
1429,E,0.7396
1430,-,0.6796
1431,-,0.8631
1432,-,0.9266
1433,-,0.5569
1434,1,0.862
1435,-,0.7418
1436,-,0.6561
1437,=,0.2917
1438,-,0.5808
1439,-,0.9159
1440,I,0.5119
1441,=,0.5512
1442,-,0.5178
1443,-,0.6477
1444,-,0.887
1445,E,0.6218
1446,-,0.3208
1447,EEL,0.4387
1448,=,0.7751
1449,-,0.5614
1450,-,0.8724
1451,-,0.7539
1452,1,0.3109
1453,-,0.7494
1454,i,0.3806
1455,1,0.7601
1456,l,0.2759
1457,B,0.2966
1458,-,0.4645
1459,mID,0.2747
1460,-,0.8631
1461,,0.5027
1462,-,0.9498
1463,-,0.2889
1464,1,0.4842
1465,1,0.5014
1466,-,0.721
1467,:,0.8196
1468,-,0.4884
1469,1,0.5524
1470,E,0.1703
1471,LT,0.359
1472,-,0.2111
1473,I,0.3077
1474,-,0.8752
1475,-,0.7515
1476,-,0.8339
1477,-,0.8417
1478,-,0.8577
1479,-,0.3653
1480,-,0.7465
